state_code,state_fips,county_fips,county_state_name,county_population,county_pop_density,county_area_total,county_area_land,county_area_water,year
AL,1,1,"Autauga County, Alabama",59285,99.73,604.3692,594.4551,9.914152,2023
AL,1,3,"Baldwin County, Alabama",239945,150.9218,2027.273,1589.863,437.4102,2023
AL,1,5,"Barbour County, Alabama",24757,27.97376,904.5152,885.0081,19.50712,2023
AL,1,7,"Bibb County, Alabama",22152,35.58728,626.1655,622.4695,3.695887,2023
AL,1,9,"Blount County, Alabama",59292,91.94117,650.6282,644.8907,5.737587,2023
AL,1,11,"Bullock County, Alabama",10157,16.30821,625.1435,622.8151,2.328454,2023
AL,1,13,"Butler County, Alabama",18807,24.20966,777.8815,776.8386,1.042939,2023
AL,1,15,"Calhoun County, Alabama",116141,191.6865,612.274,605.8902,6.383832,2023
AL,1,17,"Chambers County, Alabama",34450,57.7483,603.1137,596.5543,6.559385,2023
AL,1,19,"Cherokee County, Alabama",25224,45.56983,599.9764,553.5241,46.45226,2023
AL,1,21,"Chilton County, Alabama",45500,65.67204,700.7874,692.8368,7.950637,2023
AL,1,23,"Choctaw County, Alabama",12525,13.71131,920.8593,913.4791,7.380081,2023
AL,1,25,"Clarke County, Alabama",22802,18.41216,1252.574,1238.42,14.15369,2023
AL,1,27,"Clay County, Alabama",14188,23.49153,606.0017,603.9625,2.039243,2023
AL,1,29,"Cleburne County, Alabama",15254,27.23416,561.0137,560.1055,0.9081961,2023
AL,1,31,"Coffee County, Alabama",54231,79.87056,680.4947,678.9861,1.508574,2023
AL,1,33,"Colbert County, Alabama",57648,97.2219,623.5175,592.9528,30.56462,2023
AL,1,35,"Conecuh County, Alabama",11411,13.42029,852.7607,850.2794,2.481281,2023
AL,1,37,"Coosa County, Alabama",10323,15.85936,666.3499,650.9092,15.44067,2023
AL,1,39,"Covington County, Alabama",37647,36.53025,1043.773,1030.571,13.20271,2023
AL,1,41,"Crenshaw County, Alabama",13144,21.58771,610.9454,608.8649,2.080535,2023
AL,1,43,"Cullman County, Alabama",89463,121.7616,755.0212,734.7393,20.28194,2023
AL,1,45,"Dale County, Alabama",49516,88.24603,562.6773,561.1131,1.564232,2023
AL,1,47,"Dallas County, Alabama",37536,38.35143,993.8442,978.738,15.10616,2023
AL,1,49,"DeKalb County, Alabama",71946,92.58541,778.6628,777.0771,1.585774,2023
AL,1,51,"Elmore County, Alabama",88669,143.3577,657.0404,618.516,38.52443,2023
AL,1,53,"Escambia County, Alabama",36695,38.81393,953.1396,945.408,7.731653,2023
AL,1,55,"Etowah County, Alabama",103208,192.8741,548.6279,535.1055,13.52245,2023
AL,1,57,"Fayette County, Alabama",16173,25.76616,629.3559,627.6837,1.672163,2023
AL,1,59,"Franklin County, Alabama",31978,50.44175,646.5224,633.9589,12.56351,2023
AL,1,61,"Geneva County, Alabama",26726,46.52169,578.9509,574.4847,4.466202,2023
AL,1,63,"Greene County, Alabama",7589,11.7291,659.9251,647.0231,12.90205,2023
AL,1,65,"Hale County, Alabama",14749,22.90252,656.5013,643.9901,12.51118,2023
AL,1,67,"Henry County, Alabama",17450,31.05579,568.309,561.892,6.417044,2023
AL,1,69,"Houston County, Alabama",107628,185.6212,581.6774,579.8259,1.85152,2023
AL,1,71,"Jackson County, Alabama",52839,49.01511,1126.793,1078.015,48.77811,2023
AL,1,73,"Jefferson County, Alabama",669744,602.5368,1124.15,1111.54,12.60927,2023
AL,1,75,"Lamar County, Alabama",13809,22.83059,605.4643,604.8463,0.6180257,2023
AL,1,77,"Lauderdale County, Alabama",95037,142.2672,719.5999,668.0176,51.58231,2023
AL,1,79,"Lawrence County, Alabama",33182,48.0422,717.2028,690.6844,26.51836,2023
AL,1,81,"Lee County, Alabama",177663,292.428,615.8498,607.5445,8.305288,2023
AL,1,83,"Limestone County, Alabama",107577,190.9412,607.1872,563.4039,43.78332,2023
AL,1,85,"Lowndes County, Alabama",10008,13.97599,725.0702,716.0851,8.98506,2023
AL,1,87,"Macon County, Alabama",18951,31.13534,613.2079,608.6652,4.542686,2023
AL,1,89,"Madison County, Alabama",397135,495.4268,812.7152,801.6017,11.11351,2023
AL,1,91,"Marengo County, Alabama",19027,19.47695,982.6712,976.8984,5.772878,2023
AL,1,93,"Marion County, Alabama",29190,39.32149,743.5712,742.3421,1.229149,2023
AL,1,95,"Marshall County, Alabama",98712,174.4506,623.1802,565.845,57.33526,2023
AL,1,97,"Mobile County, Alabama",413162,336.0751,1644.052,1229.374,414.678,2023
AL,1,99,"Monroe County, Alabama",19580,19.08998,1034.398,1025.669,8.729647,2023
AL,1,101,"Montgomery County, Alabama",227197,289.2922,799.912,785.3547,14.5573,2023
AL,1,103,"Morgan County, Alabama",123742,213.4701,599.0499,579.6689,19.38093,2023
AL,1,105,"Perry County, Alabama",8231,11.43719,723.8792,719.6699,4.209366,2023
AL,1,107,"Pickens County, Alabama",18843,21.37831,890.1416,881.4075,8.734053,2023
AL,1,109,"Pike County, Alabama",32953,49.03232,672.9701,672.067,0.9031489,2023
AL,1,111,"Randolph County, Alabama",22310,38.42906,584.1345,580.5503,3.584192,2023
AL,1,113,"Russell County, Alabama",58858,91.79615,647.191,641.1816,6.009453,2023
AL,1,115,"St. Clair County, Alabama",92903,147.0984,653.3588,631.5704,21.78844,2023
AL,1,117,"Shelby County, Alabama",226955,288.9525,809.4894,785.4406,24.04884,2023
AL,1,119,"Sumter County, Alabama",12020,13.29902,913.3377,903.8261,9.51158,2023
AL,1,121,"Talladega County, Alabama",81170,110.163,760.3205,736.817,23.50347,2023
AL,1,123,"Tallapoosa County, Alabama",41070,57.3181,766.2542,716.5276,49.72648,2023
AL,1,125,"Tuscaloosa County, Alabama",234036,177.1862,1351.235,1320.848,30.38757,2023
AL,1,127,"Walker County, Alabama",64886,82.02724,805.1932,791.0298,14.16339,2023
AL,1,129,"Washington County, Alabama",15270,14.13555,1088.566,1080.255,8.310615,2023
AL,1,131,"Wilcox County, Alabama",10347,11.6539,907.3914,887.8576,19.53376,2023
AL,1,133,"Winston County, Alabama",23637,38.55967,631.8683,612.998,18.87031,2023
AK,2,13,"Aleutians East Borough, Alaska",3423,0.4899621,15016.1,6986.254,8029.848,2023
AK,2,16,"Aleutians West Census Area, Alaska",5178,1.178686,14116.48,4393.026,9723.456,2023
AK,2,20,"Anchorage Municipality, Alaska",289069,169.3428,1946.686,1707.004,239.6816,2023
AK,2,50,"Bethel Census Area, Alaska",18487,0.4549126,45555.61,40638.58,4917.03,2023
AK,2,60,"Bristol Bay Borough, Alaska",878,1.82176,848.6879,481.9516,366.7363,2023
AK,2,63,"Chugach Census Area, Alaska",6964,0.7307302,15143.35,9530.193,5613.158,2023
AK,2,66,"Copper River Census Area, Alaska",2626,0.1063484,25163.04,24692.42,470.6165,2023
AK,2,68,"Denali Borough, Alaska",2029,0.1605088,12666.57,12641.05,25.52355,2023
AK,2,70,"Dillingham Census Area, Alaska",4780,0.2607179,20628.94,18333.99,2294.945,2023
AK,2,90,"Fairbanks North Star Borough, Alaska",95555,13.02771,7434.942,7334.752,100.1899,2023
AK,2,100,"Haines Borough, Alaska",2077,0.8862413,2746.082,2343.605,402.4761,2023
AK,2,105,"Hoonah-Angoon Census Area, Alaska",2313,0.352607,9572.714,6559.711,3013.003,2023
AK,2,110,"Juneau City and Borough, Alaska",31969,11.82197,3254.881,2704.203,550.6777,2023
AK,2,122,"Kenai Peninsula Borough, Alaska",59843,3.736094,24720.62,16017.53,8703.089,2023
AK,2,130,"Ketchikan Gateway Borough, Alaska",13870,2.855661,6653.012,4857.02,1795.992,2023
AK,2,150,"Kodiak Island Borough, Alaska",12878,1.925112,12151.77,6689.48,5462.287,2023
AK,2,158,"Kusilvak Census Area, Alaska",8277,0.4846844,19658.62,17077.09,2581.524,2023
AK,2,164,"Lake and Peninsula Borough, Alaska",1007,0.04225436,33866.51,23831.86,10034.65,2023
AK,2,170,"Matanuska-Susitna Borough, Alaska",110677,4.479525,25265.52,24707.31,558.2084,2023
AK,2,180,"Nome Census Area, Alaska",9925,0.4320946,28290.24,22969.51,5320.736,2023
AK,2,185,"North Slope Borough, Alaska",10891,0.1226138,94827.92,88823.63,6004.299,2023
AK,2,188,"Northwest Arctic Borough, Alaska",7611,0.2134128,40619.78,35663.28,4956.497,2023
AK,2,195,"Petersburg Borough, Alaska",3394,1.170011,3822.01,2900.828,921.1812,2023
AK,2,198,"Prince of Wales-Hyder Census Area, Alaska",5730,1.087737,10909.6,5267.818,5641.786,2023
AK,2,220,"Sitka City and Borough, Alaska",8393,2.924327,4815.143,2870.063,1945.081,2023
AK,2,230,"Skagway Municipality, Alaska",1308,3.014023,445.0851,433.9715,11.11361,2023
AK,2,240,"Southeast Fairbanks Census Area, Alaska",6936,0.279314,25121.57,24832.27,289.3036,2023
AK,2,275,"Wrangell City and Borough, Alaska",2106,0.8239015,3476.746,2556.131,920.6147,2023
AK,2,282,"Yakutat City and Borough, Alaska",506,0.06635848,9164.31,7625.25,1539.059,2023
AK,2,290,"Yukon-Koyukuk Census Area, Alaska",5271,0.03620643,147878.1,145581.9,2296.283,2023
AZ,4,1,"Apache County, Arizona",65680,5.865169,11219.22,11198.31,20.90346,2023
AZ,4,3,"Cochise County, Arizona",125458,20.20302,6216.678,6209.864,6.81422,2023
AZ,4,5,"Coconino County, Arizona",144643,7.769674,18661.39,18616.35,45.03384,2023
AZ,4,7,"Gila County, Arizona",53610,11.26834,4794.824,4757.578,37.24605,2023
AZ,4,9,"Graham County, Arizona",38860,8.40784,4640.208,4621.877,18.33069,2023
AZ,4,11,"Greenlee County, Arizona",9452,5.129047,1847.45,1842.838,4.612917,2023
AZ,4,12,"La Paz County, Arizona",16605,3.692807,4510.677,4496.579,14.09827,2023
AZ,4,13,"Maricopa County, Arizona",4491987,488.1525,9226.002,9202.016,23.98638,2023
AZ,4,15,"Mohave County, Arizona",217420,16.30799,13460.84,13332.12,128.7262,2023
AZ,4,17,"Navajo County, Arizona",107744,10.82909,9958.806,9949.492,9.313208,2023
AZ,4,19,"Pima County, Arizona",1049947,114.2652,9190.657,9188.684,1.97376,2023
AZ,4,21,"Pinal County, Arizona",449219,83.70534,5374.682,5366.671,8.010544,2023
AZ,4,23,"Santa Cruz County, Arizona",48209,38.99583,1237.445,1236.26,1.184653,2023
AZ,4,25,"Yavapai County, Arizona",241656,29.74985,8127.318,8122.932,4.385457,2023
AZ,4,27,"Yuma County, Arizona",207685,37.66627,5518.933,5513.819,5.113094,2023
AR,5,1,"Arkansas County, Arkansas",16773,16.90587,1038.742,992.1403,46.60183,2023
AR,5,3,"Ashley County, Arkansas",18722,20.22925,940.4168,925.4916,14.92517,2023
AR,5,5,"Baxter County, Arkansas",42150,76.09248,586.7175,553.9312,32.78635,2023
AR,5,7,"Benton County, Arkansas",294541,347.4456,884.3632,847.7327,36.63042,2023
AR,5,9,"Boone County, Arkansas",37896,64.26068,602.0002,589.723,12.27727,2023
AR,5,11,"Bradley County, Arkansas",10354,15.94967,652.8373,649.1671,3.670135,2023
AR,5,13,"Calhoun County, Arkansas",4717,7.503971,632.4182,628.6005,3.817702,2023
AR,5,15,"Carroll County, Arkansas",28526,45.28457,638.6982,629.9276,8.770603,2023
AR,5,17,"Chicot County, Arkansas",9997,15.69443,691.1914,636.9776,54.21383,2023
AR,5,19,"Clark County, Arkansas",21378,24.68673,882.9465,865.9713,16.97521,2023
AR,5,21,"Clay County, Arkansas",14399,22.52576,641.3464,639.2238,2.122673,2023
AR,5,23,"Cleburne County, Arkansas",25048,45.21633,592.139,553.9592,38.17987,2023
AR,5,25,"Cleveland County, Arkansas",7491,12.52863,598.8996,597.9105,0.9890783,2023
AR,5,27,"Columbia County, Arkansas",22527,29.40613,766.8316,766.0649,0.7667333,2023
AR,5,29,"Conway County, Arkansas",20872,37.81727,566.4954,551.9171,14.57824,2023
AR,5,31,"Craighead County, Arkansas",112097,158.5167,712.6913,707.1622,5.529002,2023
AR,5,33,"Crawford County, Arkansas",60792,102.1253,605.6617,595.2686,10.39304,2023
AR,5,35,"Crittenden County, Arkansas",47609,77.6827,644.4052,612.8649,31.54035,2023
AR,5,37,"Cross County, Arkansas",16681,27.06559,622.2595,616.3176,5.94187,2023
AR,5,39,"Dallas County, Arkansas",6351,9.517132,667.9914,667.3229,0.6684888,2023
AR,5,41,"Desha County, Arkansas",11041,14.89558,812.7255,741.2267,71.49876,2023
AR,5,43,"Drew County, Arkansas",17143,20.68744,835.9218,828.667,7.254763,2023
AR,5,45,"Faulkner County, Arkansas",126001,194.6734,664.084,647.2431,16.84091,2023
AR,5,47,"Franklin County, Arkansas",17220,28.27738,620.1078,608.9673,11.14053,2023
AR,5,49,"Fulton County, Arkansas",12239,19.8044,620.4489,617.9941,2.454784,2023
AR,5,51,"Garland County, Arkansas",100062,147.668,734.5462,677.6146,56.93161,2023
